"Name","Year","file","Organization_type","Size","Sector","Sec_SASB","Country","Region","OECD","english_non_english"
"Taiwan Adventist Hospital (TAH)",2016,"TaiwanAdventistHospital(TAH)_2016","Non-profit organization","Large","Non-Profit / Services","Non-Profit / Services","Taiwan","Asia","No","non-english"
"Taiwan Cement Corporation",2016,"TaiwanCementCorporation_2016","Private company","Large","Construction Materials","Extractives and Minerals Processing","Taiwan","Asia","Yes","non-english"
"Taiwan Cooperative Financial Holding(TCFHC)",2016,"TaiwanCooperativeFinancialHolding(TCFHC)_2016","Private company","MNE","Financial Services","Financials","Taiwan","Asia","No","non-english"
"Taiwan Family Mart. Co., Ltd.",2016,"TaiwanFamilyMart.Co.,Ltd._2016","Private company","SME","Retailers","Consumer Goods","Taiwan","Asia","No","non-english"
"Taiwan Fertilzer Co., Ltd.",2016,"TaiwanFertilzerCo.,Ltd._2016","Private company","MNE","Chemicals","Resource Transformation","Taiwan","Asia","No","non-english"
"Taiwan Fire & Marine Insurance (TFMI)",2016,"TaiwanFire&MarineInsurance(TFMI)_2016","Private company","MNE","Financial Services","Financials","Taiwan","Asia","No","non-english"
"Taiwan Fructose Co., Ltd.",2016,"TaiwanFructoseCo.,Ltd._2016","Private company","MNE","Food and Beverage Products","Food and Beverage","Taiwan","Asia","No","non-english"
"Taiwan Fu Hsing Industrial Co., Ltd.",2016,"TaiwanFuHsingIndustrialCo.,Ltd._2016","Private company","MNE","Other","Other","Taiwan","Asia","No","non-english"
"TAIWAN GLASS IND. CORP.(TGI)",2016,"TAIWANGLASSIND.CORP.(TGI)_2016","Private company","MNE","Construction Materials","Extractives and Minerals Processing","Taiwan","Asia","No","non-english"
"Taiwan Hopax Chems. Mfg. Co., Ltd.",2016,"TaiwanHopaxChems.Mfg.Co.,Ltd._2016","Private company","MNE","Chemicals","Resource Transformation","Taiwan","Asia","No","non-english"
"Taiwan Mobile (TWM)",2016,"TaiwanMobile(TWM)_2016","Private company","Large","Telecommunications","Technology and Communications","Taiwan","Asia","No","non-english"
"Taiwan Optical Platform Co., Ltd.",2016,"TaiwanOpticalPlatformCo.,Ltd._2016","Private company","Large","Other","Other","Taiwan","Asia","No","non-english"
"Taiwan Prosperity Chemical Corporation",2016,"TaiwanProsperityChemicalCorporation_2016","Private company","Large","Chemicals","Resource Transformation","Taiwan","Asia","No","non-english"
"Taiwan Semiconductor Manufacturing Co., Ltd. (TSMC)",2016,"TaiwanSemiconductorManufacturingCo.,Ltd.(TSMC)_2016","Private company","MNE","Technology Hardware","Technology and Communications","Taiwan","Asia","No","english"
"Taiwan Shin Kong Security Co., Ltd.",2016,"TaiwanShinKongSecurityCo.,Ltd._2016","Private company","MNE","Other","Other","Taiwan","Asia","No","non-english"
"Taiwan Tea Corporation (TTC)",2016,"TaiwanTeaCorporation(TTC)_2016","Private company","Large","Agriculture","Food and Beverage","Taiwan","Asia","No","non-english"
"Taiwan Water Corporation",2016,"TaiwanWaterCorporation_2016","State-owned company","Large","Water Utilities","Infrastructure","Taiwan","Asia","No","non-english"
"Taiwan Wax Co., Ltd.",2016,"TaiwanWaxCo.,Ltd._2016","Private company","Large","Chemicals","Resource Transformation","Taiwan","Asia","No","non-english"
"Taiyen Biotech Co., Ltd.",2016,"TaiyenBiotechCo.,Ltd._2016","Private company","MNE","Food and Beverage Products","Food and Beverage","Taiwan","Asia","No","non-english"
"Taiyo Nippon Sanso Corporation",2016,"TaiyoNipponSansoCorporation_2016","Private company","MNE","Energy","Extractives and Minerals Processing","Japan","Asia",NA,"non-english"
"Takara Shuzo",2016,"TakaraShuzo_2016","Private company","Large","Food and Beverage Products","Food and Beverage","Japan","Asia",NA,"non-english"
"Takasago",2016,"Takasago_2016","Private company","MNE","Other","Other","Japan","Asia",NA,"non-english"
"Takasago Thermal Engineering",2016,"TakasagoThermalEngineering_2016","Subsidiary","Large","Construction","Infrastructure","Japan","Asia",NA,"english"
"Takenaka Corporation",2016,"TakenakaCorporation_2016","Private company","Large","Construction","Infrastructure","Japan","Asia",NA,"english"
"TAKKT AG",2016,"TAKKTAG_2016","Private company","MNE","Commercial Services","Financials","Germany","Europe","No","english"
"Talanx",2016,"Talanx_2016","Private company","Large","Financial Services","Financials","Germany","Europe","No","english"
"Tallinn Airport",2016,"TallinnAirport_2016","State-owned company","Large","Aviation","Transportation","Estonia","Europe","No","english"
"Tambour",2016,"Tambour_2016","Private company","Large","Construction Materials","Extractives and Minerals Processing","Israel","Asia","No","non-english"
"Tamron",2016,"Tamron_2016","Private company","Large","Technology Hardware","Technology and Communications","Japan","Asia",NA,"english"
"Tamura",2016,"Tamura_2016","Private company","MNE","Equipment","Resource Transformation","Japan","Asia",NA,"english"
"Tang Eng Iron Works (TE)",2016,"TangEngIronWorks(TE)_2016","Private company","Large","Metals Products","Extractives and Minerals Processing","Taiwan","Asia","No","non-english"
"Tangshan Port Group Co., Ltd.",2016,"TangshanPortGroupCo.,Ltd._2016","State-owned company","Large","Logistics","Transportation","Mainland China","Asia",NA,"non-english"
"TAP Group",2016,"TAPGroup_2016","Private company","MNE","Aviation","Transportation","Portugal","Europe","No","english"
"Tapio",2016,"Tapio_2016","Cooperative","SME","Non-Profit / Services","Non-Profit / Services","Finland","Europe","No","non-english"
"Target",2016,"Target_2016","Private company","MNE","Retailers","Consumer Goods","United States of America","Northern America","No","english"
"Tarjeta Naranja",2016,"TarjetaNaranja_2016","Subsidiary","Large","Financial Services","Financials","Argentina","Latin America & the Caribbean","No","non-english"
"Tarkett",2016,"Tarkett_2016","Private company","MNE","Construction Materials","Extractives and Minerals Processing","France","Europe",NA,"english"
"TASA",2016,"TASA_2016","Private company","Large","Conglomerates","Conglomerates","Peru","Latin America & the Caribbean","No","non-english"
"TASLY PHARMACEUTICAL GROUP",2016,"TASLYPHARMACEUTICALGROUP_2016","Private company","Large","Healthcare Products","Healthcare","Mainland China","Asia",NA,"non-english"
